Date	Price	Open	High	Low	Vol.	Change %
Mar 20, 2025	650.00	650.00	660.00	646.00	4.84M	+0.78%
Mar 19, 2025	645.00	650.00	655.00	644.00	4.41M	-1.68%
Mar 18, 2025	656.00	630.00	656.00	630.00	8.65M	+5.13%
Mar 17, 2025	624.00	613.00	626.00	610.00	4.51M	+2.63%
Mar 14, 2025	608.00	614.00	614.00	605.00	3.94M	0.00%
Mar 13, 2025	608.00	611.00	627.00	607.00	7.84M	+1.33%
Mar 12, 2025	600.00	600.00	621.00	595.00	20.31M	-8.26%
Mar 11, 2025	654.00	644.00	661.00	639.00	3.51M	0.00%
Mar 10, 2025	654.00	658.00	664.00	651.00	3.19M	-0.76%
Mar 07, 2025	659.00	670.00	675.00	659.00	2.63M	-2.23%
Mar 06, 2025	674.00	676.00	684.00	674.00	1.73M	-0.59%
Mar 05, 2025	678.00	672.00	682.00	671.00	2.06M	+1.19%
Mar 04, 2025	670.00	661.00	673.00	657.00	3.35M	+0.15%
Mar 03, 2025	669.00	670.00	683.00	666.00	3.41M	-1.91%
Feb 27, 2025	682.00	697.00	697.00	677.00	4.74M	-2.29%
Feb 26, 2025	698.00	690.00	700.00	685.00	3.08M	+1.01%
Feb 25, 2025	691.00	693.00	704.00	685.00	3.33M	-1.00%
Feb 24, 2025	698.00	707.00	715.00	696.00	1.96M	-1.55%
Feb 21, 2025	709.00	697.00	713.00	696.00	3.83M	+2.31%
Feb 20, 2025	693.00	689.00	704.00	689.00	3.06M	+0.29%
Feb 19, 2025	691.00	700.00	702.00	688.00	3.29M	-1.00%
Feb 18, 2025	698.00	685.00	702.00	682.00	3.88M	+2.50%
Feb 17, 2025	681.00	675.00	683.00	675.00	1.68M	+0.44%
Feb 14, 2025	678.00	677.00	682.00	671.00	2.18M	-0.15%
Feb 13, 2025	679.00	680.00	685.00	674.00	1.78M	+0.59%
Feb 12, 2025	675.00	672.00	684.00	668.00	3.28M	+1.50%
Feb 11, 2025	665.00	662.00	669.00	658.00	2.44M	-0.60%
Feb 10, 2025	669.00	660.00	675.00	659.00	3.34M	+0.60%
Feb 07, 2025	665.00	649.00	665.00	649.00	3.71M	+1.99%
Feb 06, 2025	652.00	660.00	661.00	645.00	3.12M	-0.76%
Feb 05, 2025	657.00	645.00	661.00	643.00	4.86M	+1.55%
Feb 04, 2025	647.00	644.00	661.00	644.00	6.28M	-0.31%
Feb 03, 2025	649.00	600.00	655.00	598.00	11.64M	+6.92%
Jan 22, 2025	607.00	602.00	613.00	602.00	2.32M	+1.34%
